,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
167,portainer/portainer-mcp,portainer/portainer-mcp,"A powerful MCP server that enables AI assistants to seamlessly interact with Portainer instances, providing natural..","['cloud', 'go', 'local']",cloud-platforms,https://github.com/portainer/portainer-mcp,https://github.com/portainer/portainer-mcp,Zlib,2025-03-09 21:00:17,2025-06-30 14:08:38,2025-06-30 14:08:09,106.0,,15.0,3.0,30.0,4.0,3.0,69.0,2025-06-30 14:09:39,0.6.0,7.0,,,3.0,12,True,3.0,1393.0,232.0,,
168,optuna/optuna-mcp,optuna/optuna-mcp,Official MCP server enabling seamless orchestration of hyperparameter search and other optimization tasks with Optuna.,"['linux', 'local', 'macos', 'official', 'python']",data-science-tools,https://github.com/optuna/optuna-mcp,https://github.com/optuna/optuna-mcp,MIT,2025-06-10 07:03:55,2025-10-02 06:46:58,2025-10-02 06:46:58,82.0,23.0,19.0,,36.0,,,60.0,2025-06-13 02:10:37,0.1.2,3.0,,,7.0,12,True,3.0,,,,
169,narumiruna/yfinance-mcp,narumiruna/yfinance-mcp,An MCP server that uses yfinance to obtain information from Yahoo Finance.,"['cloud', 'python']",finance-and-fintech,https://github.com/narumiruna/yfinance-mcp,https://github.com/narumiruna/yfinance-mcp,MIT,2025-03-30 11:35:19,2025-10-03 14:20:44,2025-10-03 14:20:42,182.0,71.0,23.0,1.0,55.0,,,58.0,,,,,,4.0,12,True,2.0,,,,
170,mahdin75/gis-mcp,mahdin75/gis-mcp,A Model Context Protocol (MCP) server implementation that connects Large Language Models (LLMs) to GIS operations..,['local'],location-services,https://github.com/mahdin75/gis-mcp,https://github.com/mahdin75/gis-mcp,MIT,2025-05-07 14:21:57,2025-09-29 09:40:07,2025-09-29 09:30:08,157.0,107.0,16.0,2.0,13.0,1.0,2.0,58.0,2025-09-29 09:40:07,0.9.0,9.0,,,8.0,12,True,1.0,,,,
171,anaisbetts/mcp-installer,anaisbetts/mcp-installer,An MCP server that installs other MCP servers for you.,"['local', 'python']",other-tools-and-integrations,https://github.com/anaisbetts/mcp-installer,https://github.com/anaisbetts/mcp-installer,MIT,2024-11-26 18:01:53,2024-11-26 20:05:09,2024-11-26 20:05:09,12.0,,181.0,11.0,10.0,12.0,3.0,1434.0,,,,,,,11,True,2.0,,,,
172,Coding-Solo/godot-mcp,Coding-Solo/godot-mcp,"A MCP server for interacting with the Godot game engine, providing tools for editing, running, debugging, and managing..","['local', 'typescript']",gaming,https://github.com/Coding-Solo/godot-mcp,https://github.com/Coding-Solo/godot-mcp,MIT,2025-02-26 21:58:45,2025-08-09 21:19:34,2025-08-09 21:19:34,44.0,9.0,99.0,12.0,17.0,15.0,12.0,950.0,,,,,,4.0,11,True,3.0,,,,
173,jae-jae/fetcher-mcp,jae-jae/fetcher-mcp,"MCP server for fetching web page content using Playwright headless browser, supporting Javascript rendering and..","['local', 'typescript']",search-data-extraction,https://github.com/jae-jae/fetcher-mcp,https://github.com/jae-jae/fetcher-mcp,MIT,2025-03-19 10:54:49,2025-09-28 03:01:29,2025-09-28 03:01:16,89.0,7.0,71.0,5.0,6.0,3.0,9.0,879.0,,,,,,3.0,11,True,2.0,,,,
174,janwilmake/openapi-mcp-server,janwilmake/openapi-mcp-server,Connect any HTTP/REST API server using an Open API spec (v3).,"['go', 'local']",developer-tools,https://github.com/janwilmake/openapi-mcp-server,https://github.com/janwilmake/openapi-mcp-server,MIT,2024-12-07 18:14:50,2025-09-06 11:44:29,2025-09-06 11:44:26,51.0,3.0,86.0,10.0,16.0,3.0,13.0,823.0,,,1.0,,,6.0,11,True,3.0,,,,
175,alexander-zuev/supabase-mcp-server,alexander-zuev/supabase-mcp-server,Supabase MCP Server with support for SQL query execution and database exploration tools.,[],databases,https://github.com/alexander-zuev/supabase-mcp-server,https://github.com/alexander-zuev/supabase-mcp-server,Apache-2.0,2025-02-15 08:54:29,2025-09-26 14:03:00,2025-08-05 07:53:36,122.0,1.0,93.0,14.0,32.0,3.0,41.0,803.0,2025-04-03 10:25:36,0.4,19.0,,,2.0,11,True,3.0,,,,
176,ClickHouse/mcp-clickhouse,ClickHouse/mcp-clickhouse,ClickHouse database integration with schema inspection and query capabilities.,"['cloud', 'python']",databases,https://github.com/ClickHouse/mcp-clickhouse,https://github.com/ClickHouse/mcp-clickhouse,Apache-2.0,2024-12-25 14:15:46,2025-09-29 22:58:08,2025-09-29 22:58:08,55.0,3.0,102.0,7.0,58.0,16.0,12.0,552.0,,,,,,16.0,11,True,3.0,,,,
177,nickclyde/duckduckgo-mcp-server,nickclyde/duckduckgo-mcp-server,Web search using DuckDuckGo.,"['cloud', 'python']",search-data-extraction,https://github.com/nickclyde/duckduckgo-mcp-server,https://github.com/nickclyde/duckduckgo-mcp-server,MIT,2025-02-22 21:19:19,2025-03-11 22:59:22,2025-03-11 22:59:22,13.0,,109.0,3.0,12.0,12.0,,517.0,,,,10.0,10.0,5.0,11,True,2.0,,,,
178,MarkusPfundstein/mcp-gsuite,MarkusPfundstein/mcp-gsuite,Integration with gmail and Google Calendar.,"['cloud', 'python']",workplace-and-productivity,https://github.com/MarkusPfundstein/mcp-gsuite,https://github.com/MarkusPfundstein/mcp-gsuite,MIT,2024-11-30 22:32:38,2025-04-14 10:41:50,2025-04-14 10:41:50,67.0,,87.0,5.0,20.0,17.0,8.0,438.0,,,,3.0,3.0,6.0,11,True,3.0,,,,
179,nwiizo/tfmcp,nwiizo/tfmcp,"A Terraform MCP server allowing AI assistants to manage and operate Terraform environments, enabling reading..","['local', 'rust']",cloud-platforms,https://github.com/nwiizo/tfmcp,https://github.com/nwiizo/tfmcp,MIT,2025-03-08 14:10:29,2025-06-14 02:38:30,2025-06-14 02:38:17,44.0,,22.0,8.0,4.0,2.0,4.0,343.0,2025-06-14 02:38:59,0.1.5,1.0,,,2.0,11,True,3.0,,,,
180,kimtaeyoon83/mcp-server-youtube-transcript,kimtaeyoon83/mcp-server-youtube-transcript,Fetch YouTube subtitles and transcripts for AI analysis.,"['cloud', 'typescript']",browser-automation,https://github.com/kimtaeyoon83/mcp-server-youtube-transcript,https://github.com/kimtaeyoon83/mcp-server-youtube-transcript,MIT,2024-11-29 04:53:05,2025-08-08 04:32:12,2025-05-09 07:15:45,20.0,,57.0,4.0,8.0,7.0,3.0,328.0,,,,4.0,4.0,6.0,11,True,3.0,,,,
181,TencentEdgeOne/edgeone-pages-mcp,TencentEdgeOne/edgeone-pages-mcp,An MCP service for deploying HTML content to EdgeOne Pages and obtaining a publicly accessible URL.,"['cloud', 'typescript']",developer-tools,https://github.com/TencentEdgeOne/edgeone-pages-mcp,https://github.com/TencentEdgeOne/edgeone-pages-mcp,MIT,2025-03-25 02:28:36,2025-09-22 06:23:04,2025-09-22 06:22:56,20.0,6.0,36.0,3.0,5.0,4.0,8.0,303.0,,,,3.0,3.0,,11,True,3.0,,,,
