,name,github_id,description,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
111,jtang613/GhidrAssistMCP,jtang613/GhidrAssistMCP,"A native Model Context Protocol server for Ghidra. Includes GUI configuration and logging, 31 powerful tools and no..","['java', 'local']",security,https://github.com/jtang613/GhidrAssistMCP,https://github.com/jtang613/GhidrAssistMCP,MIT,2025-07-09 00:59:13,2025-08-09 19:57:36,2025-08-09 19:56:54,10,10.0,14,,1.0,1.0,1.0,296,2025-08-09 19:58:29,0.5.0,5.0,,,,13,True,3,253.0,253.0,,
112,kiliczsh/mcp-mongo-server,kiliczsh/mcp-mongo-server,A Model Context Protocol Server for MongoDB.,"['local', 'typescript']",databases,https://github.com/kiliczsh/mcp-mongo-server,https://github.com/kiliczsh/mcp-mongo-server,MIT,2024-12-04 19:30:40,2025-05-27 05:53:29,2025-05-27 05:52:59,42,1.0,44,4.0,12.0,,16.0,262,2025-04-26 19:16:56,1.3.0,10.0,3.0,3.0,7.0,13,True,2,,,,
113,domdomegg/airtable-mcp-server,domdomegg/airtable-mcp-server,"Airtable database integration with schema inspection, read and write capabilities.","['local', 'typescript']",databases,https://github.com/domdomegg/airtable-mcp-server,https://github.com/domdomegg/airtable-mcp-server,MIT,2024-12-12 17:16:40,2025-08-03 14:56:03,2025-08-03 14:55:59,60,22.0,69,6.0,28.0,5.0,16.0,256,,,,5.0,5.0,6.0,13,True,2,,,,
114,wenb1n-dev/mysql_mcp_server_pro,wenb1n-dev/mysql_mcp_server_pro,"Supports SSE, STDIO; not only limited to MySQLs CRUD functionality; also includes database exception analysis..","['local', 'python']",databases,https://github.com/wenb1n-dev/mysql_mcp_server_pro,https://github.com/wenb1n-dev/mysql_mcp_server_pro,MIT,2025-04-04 07:22:49,2025-08-06 06:56:14,2025-08-06 06:56:08,77,35.0,30,2.0,1.0,9.0,30.0,246,2025-08-05 00:48:54,1.7.0,10.0,,,2.0,13,True,2,,,,
115,Automata-Labs-team/MCP-Server-Playwright,Automata-Labs-team/MCP-Server-Playwright,An MCP server for browser automation using Playwright.,['python'],browser-automation,https://github.com/Automata-Labs-team/MCP-Server-Playwright,https://github.com/Automata-Labs-team/MCP-Server-Playwright,MIT,2024-12-02 08:15:20,2025-06-05 21:48:28,2025-06-05 21:48:28,75,3.0,33,2.0,9.0,5.0,1.0,243,2025-01-24 07:03:52,1.2.1,15.0,12.0,12.0,5.0,13,True,2,,,,
116,armorwallet/armor-crypto-mcp,armorwallet/armor-crypto-mcp,"MCP to interface with multiple blockchains, staking, DeFi, swap, bridging, wallet management, DCA, Limit Orders, Coin..","['cloud', 'python']",finance-and-fintech,https://github.com/armorwallet/armor-crypto-mcp,https://github.com/armorwallet/armor-crypto-mcp,GPL-3.0,2025-03-22 12:05:35,2025-07-29 15:53:53,2025-05-27 10:02:34,184,4.0,29,4.0,25.0,,,209,2025-05-14 14:02:00,0.2.1,25.0,,,6.0,13,True,1,,,-1.0,
117,zinja-coder/apktool-mcp-server,zinja-coder/apktool-mcp-server,APKTool MCP Server is a MCP server for the Apk Tool to provide automation in reverse engineering of Android APKs.,"['local', 'python']",security,https://github.com/zinja-coder/apktool-mcp-server,https://github.com/zinja-coder/apktool-mcp-server,Apache-2.0,2025-04-19 19:20:05,2025-06-10 10:02:25,2025-06-10 10:02:25,46,3.0,25,1.0,3.0,,,192,2025-05-11 21:25:45,2.0.0,3.0,,,3.0,13,True,3,343.0,85.0,,
118,g0t4/mcp-server-commands,g0t4/mcp-server-commands,Run any command with run_command and run_script tools.,"['local', 'typescript']",command-line,https://github.com/g0t4/mcp-server-commands,https://github.com/g0t4/mcp-server-commands,MIT,2024-11-29 02:39:02,2025-06-17 23:28:59,2025-06-17 23:28:42,208,3.0,31,2.0,4.0,1.0,3.0,189,2025-04-30 12:06:46,0.5.0,1.0,,,,13,True,2,,,,
119,furey/mongodb-lens,furey/mongodb-lens,MongoDB Lens: Full Featured MCP Server for MongoDB Databases.,"['local', 'typescript']",databases,https://github.com/furey/mongodb-lens,https://github.com/furey/mongodb-lens,MIT,2025-03-09 05:39:54,2025-04-23 00:44:12,2025-04-23 00:44:03,448,,21,8.0,7.0,,,178,2025-04-23 00:44:33,9.1.4,25.0,2.0,2.0,3.0,13,True,2,,,,
120,Govcraft/rust-docs-mcp-server,Govcraft/rust-docs-mcp-server,"Provides up-to-date documentation context for a specific Rust crate to LLMs via an MCP tool, using semantic search..","['local', 'rust']",developer-tools,https://github.com/Govcraft/rust-docs-mcp-server,https://github.com/Govcraft/rust-docs-mcp-server,MIT,2025-03-26 00:15:21,2025-06-23 03:03:08,2025-06-23 03:03:08,77,2.0,24,,9.0,6.0,3.0,174,2025-05-08 03:13:07,1.3.1,14.0,,,4.0,13,True,2,260.0,52.0,,
121,FradSer/mcp-server-apple-reminders,FradSer/mcp-server-apple-reminders,An MCP server for interacting with Apple Reminders on macOS.,"['local', 'macos', 'typescript']",browser-automation,https://github.com/FradSer/mcp-server-apple-reminders,https://github.com/FradSer/mcp-server-apple-reminders,MIT,2025-02-14 18:03:02,2025-08-15 04:12:21,2025-08-15 04:12:06,69,52.0,16,1.0,9.0,3.0,10.0,101,2025-08-15 04:07:56,0.7.0,4.0,,,5.0,13,True,2,,,,
122,sapientpants/sonarqube-mcp-server,sapientpants/sonarqube-mcp-server,A Model Context Protocol (MCP) server that integrates with SonarQube to provide AI assistants with access to code..,"['cloud', 'local', 'rust']",developer-tools,https://github.com/sapientpants/sonarqube-mcp-server,https://github.com/sapientpants/sonarqube-mcp-server,MIT,2025-03-20 12:02:36,2025-08-18 00:53:33,2025-08-10 23:27:03,139,106.0,13,3.0,208.0,4.0,50.0,83,2025-08-10 23:27:53,1.7.4,18.0,1.0,1.0,2.0,13,True,2,,,,
123,1mcp-app/agent,1mcp-app/agent,A unified Model Context Protocol server implementation that aggregates multiple MCP servers into one.,"['cloud', 'linux', 'local', 'macos', 'typescript', 'windows']",aggregators,https://github.com/1mcp-app/agent,https://github.com/1mcp-app/agent,Apache-2.0,2025-03-16 14:05:08,2025-08-15 16:27:07,2025-08-15 16:27:06,374,238.0,13,2.0,91.0,1.0,2.0,71,2025-08-15 16:27:25,0.18.0,22.0,1.0,1.0,3.0,13,True,3,,,,
124,reza-gholizade/k8s-mcp-server,reza-gholizade/k8s-mcp-server,A Kubernetes Model Context Protocol (MCP) server that provides tools for interacting with Kubernetes clusters through..,"['cloud', 'go', 'local']",cloud-platforms,https://github.com/reza-gholizade/k8s-mcp-server,https://github.com/reza-gholizade/k8s-mcp-server,MIT,2025-04-13 21:22:39,2025-08-17 14:43:42,2025-08-18 01:13:28,123,76.0,10,5.0,34.0,2.0,5.0,66,2025-08-02 09:02:21,1.0.16,7.0,,,7.0,13,True,3,35.0,17.0,,
125,ivo-toby/contentful-mcp,ivo-toby/contentful-mcp,"Update, create, delete content, content-models and assets in your Contentful Space.","['local', 'typescript']",other-tools-and-integrations,https://github.com/ivo-toby/contentful-mcp,https://github.com/ivo-toby/contentful-mcp,MIT,2024-12-04 18:27:09,2025-08-14 12:12:32,2025-08-14 12:12:29,261,15.0,16,2.0,33.0,7.0,9.0,60,2025-07-31 08:21:18,1.19.0,20.0,,,6.0,13,True,2,,,,
126,tuannvm/mcp-trino,tuannvm/mcp-trino,A Go implementation of a Model Context Protocol (MCP) server for Trino.,"['cloud', 'go']",databases,https://github.com/tuannvm/mcp-trino,https://github.com/tuannvm/mcp-trino,,2025-04-09 14:10:52,2025-08-17 20:47:45,2025-08-17 20:30:48,193,107.0,17,2.0,69.0,2.0,8.0,55,2025-08-17 16:33:51,2.1.1,22.0,,,9.0,13,True,2,757.0,189.0,,
127,zcaceres/markdownify-mcp,zcaceres/markdownify-mcp,An MCP server to convert almost any file or web content into Markdown.,"['local', 'typescript']",data-science-tools,https://github.com/zcaceres/markdownify-mcp,https://github.com/zcaceres/markdownify-mcp,MIT,2024-12-18 21:14:52,2025-05-19 15:35:18,2025-05-19 15:35:18,35,,164,11.0,14.0,9.0,6.0,2040,,,,,,6.0,12,True,2,,,,
128,Operative-Sh/web-eval-agent,Operative-Sh/web-eval-agent,An MCP Server that autonomously debugs web applications with browser-use browser agents.,"['local', 'macos', 'python']",browser-automation,https://github.com/Operative-Sh/web-eval-agent,https://github.com/Operative-Sh/web-eval-agent,Apache-2.0,2025-04-01 23:40:56,2025-07-30 20:11:00,2025-07-30 02:42:18,202,9.0,95,8.0,24.0,1.0,10.0,1148,,,,,,5.0,12,True,3,,,-1.0,
129,rinadelph/Agent-MCP,rinadelph/Agent-MCP,"A framework for creating multi-agent systems using MCP for coordinated AI collaboration, featuring task management,..","['local', 'python']",coding-agents,https://github.com/rinadelph/Agent-MCP,https://github.com/rinadelph/Agent-MCP,,2025-05-13 15:40:10,2025-08-11 20:45:39,2025-08-11 16:14:37,274,236.0,97,9.0,16.0,7.0,14.0,819,,,,,,7.0,12,True,3,,,,
130,alexander-zuev/supabase-mcp-server,alexander-zuev/supabase-mcp-server,Supabase MCP Server with support for SQL query execution and database exploration tools.,[],databases,https://github.com/alexander-zuev/supabase-mcp-server,https://github.com/alexander-zuev/supabase-mcp-server,Apache-2.0,2025-02-15 08:54:29,2025-08-05 08:01:55,2025-08-05 07:53:36,122,1.0,89,14.0,28.0,2.0,41.0,782,2025-04-03 10:25:36,0.4,19.0,,,2.0,12,True,3,,,,
